epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,20.1317,0.84809,1.60469,0.9767,0.38962,0.07945,0.09146,0.05261,1.70548,3.59534,1.49752,9.24943e-05,9.24943e-05,9.24943e-05
133,20.2633,0.85904,1.41784,0.98298,0.38962,0.07945,0.09146,0.05261,1.70548,3.59534,1.49752,9.22996e-05,9.22996e-05,9.22996e-05
134,20.4055,0.97365,1.46386,1.00679,0.38962,0.07945,0.09146,0.05261,1.70548,3.59534,1.49752,9.21049e-05,9.21049e-05,9.21049e-05
135,20.5442,0.88699,1.59145,0.98619,0.38962,0.07945,0.09146,0.05261,1.70548,3.59534,1.49752,9.19102e-05,9.19102e-05,9.19102e-05
136,20.6854,0.91074,1.56766,1.027,0.39442,0.07586,0.08619,0.05274,1.70909,3.62739,1.48725,9.17155e-05,9.17155e-05,9.17155e-05
137,20.8165,0.94502,1.46939,0.97148,0.39442,0.07586,0.08619,0.05274,1.70909,3.62739,1.48725,9.15208e-05,9.15208e-05,9.15208e-05
138,20.9523,0.89171,1.72684,0.9941,0.39442,0.07586,0.08619,0.05274,1.70909,3.62739,1.48725,9.13261e-05,9.13261e-05,9.13261e-05
139,21.0931,0.79695,1.6273,1.01752,0.39442,0.07586,0.08619,0.05274,1.70909,3.62739,1.48725,9.11314e-05,9.11314e-05,9.11314e-05
140,21.2411,0.82004,1.54733,1.00924,0.39407,0.07487,0.0877,0.05266,1.7134,3.64862,1.48977,9.09367e-05,9.09367e-05,9.09367e-05
141,21.3747,0.85627,1.36454,0.99726,0.39407,0.07487,0.0877,0.05266,1.7134,3.64862,1.48977,9.0742e-05,9.0742e-05,9.0742e-05
142,21.6011,0.89457,1.49845,0.97967,0.39407,0.07487,0.0877,0.05266,1.7134,3.64862,1.48977,9.05473e-05,9.05473e-05,9.05473e-05
143,21.7354,0.89341,1.52817,1.00232,0.39407,0.07487,0.0877,0.05266,1.7134,3.64862,1.48977,9.03526e-05,9.03526e-05,9.03526e-05
144,21.88,0.77147,1.46061,0.97312,0.39383,0.0742,0.08843,0.05236,1.72894,3.67515,1.5108,9.01579e-05,9.01579e-05,9.01579e-05
145,22.0299,0.92851,1.41237,1.03137,0.39383,0.0742,0.08843,0.05236,1.72894,3.67515,1.5108,8.99632e-05,8.99632e-05,8.99632e-05
146,22.1804,0.90582,1.44762,1.04311,0.39383,0.0742,0.08843,0.05236,1.72894,3.67515,1.5108,8.97685e-05,8.97685e-05,8.97685e-05
147,22.3176,0.94832,1.44868,1.04151,0.39383,0.0742,0.08843,0.05236,1.72894,3.67515,1.5108,8.95738e-05,8.95738e-05,8.95738e-05
148,22.463,0.88424,1.45468,1.04332,0.39169,0.0685,0.0883,0.05291,1.75485,3.68827,1.54173,8.93791e-05,8.93791e-05,8.93791e-05
149,22.6012,0.93315,1.31959,0.96983,0.39169,0.0685,0.0883,0.05291,1.75485,3.68827,1.54173,8.91844e-05,8.91844e-05,8.91844e-05
150,22.7355,0.87462,1.4212,1.01129,0.39169,0.0685,0.0883,0.05291,1.75485,3.68827,1.54173,8.89897e-05,8.89897e-05,8.89897e-05
151,22.8703,0.89495,1.4738,1.02618,0.39169,0.0685,0.0883,0.05291,1.75485,3.68827,1.54173,8.8795e-05,8.8795e-05,8.8795e-05
152,23.0169,0.82949,1.38961,0.97636,0.38749,0.08333,0.08963,0.05365,1.77999,3.68146,1.56449,8.86003e-05,8.86003e-05,8.86003e-05
153,23.2445,0.81762,1.38532,0.97707,0.38749,0.08333,0.08963,0.05365,1.77999,3.68146,1.56449,8.84056e-05,8.84056e-05,8.84056e-05
154,23.377,0.7864,1.24726,0.96427,0.38749,0.08333,0.08963,0.05365,1.77999,3.68146,1.56449,8.82109e-05,8.82109e-05,8.82109e-05
155,23.5126,0.96628,1.42588,1.02413,0.38749,0.08333,0.08963,0.05365,1.77999,3.68146,1.56449,8.80162e-05,8.80162e-05,8.80162e-05
156,23.657,0.96827,1.38321,0.98767,0.39463,0.07644,0.09446,0.05561,1.75193,3.64373,1.55667,8.78215e-05,8.78215e-05,8.78215e-05
157,23.7902,0.8607,1.28243,1.03139,0.39463,0.07644,0.09446,0.05561,1.75193,3.64373,1.55667,8.76268e-05,8.76268e-05,8.76268e-05
158,23.9246,0.81322,1.21293,0.9828,0.39463,0.07644,0.09446,0.05561,1.75193,3.64373,1.55667,8.74321e-05,8.74321e-05,8.74321e-05
159,24.0682,0.76949,1.42462,0.9575,0.39463,0.07644,0.09446,0.05561,1.75193,3.64373,1.55667,8.72374e-05,8.72374e-05,8.72374e-05
160,24.2164,0.92864,1.34208,1.04717,0.40307,0.08225,0.10159,0.05692,1.74303,3.60475,1.55584,8.70427e-05,8.70427e-05,8.70427e-05
161,24.3558,0.86333,1.16106,0.93628,0.40307,0.08225,0.10159,0.05692,1.74303,3.60475,1.55584,8.6848e-05,8.6848e-05,8.6848e-05
162,24.5045,0.81945,1.34983,0.98134,0.40307,0.08225,0.10159,0.05692,1.74303,3.60475,1.55584,8.66533e-05,8.66533e-05,8.66533e-05
163,24.7447,0.805,1.16829,0.95935,0.40307,0.08225,0.10159,0.05692,1.74303,3.60475,1.55584,8.64586e-05,8.64586e-05,8.64586e-05
